TransactionID,Date,Time,Type,Amount,Merchant,Country,Channel,Counterparty
TX0050,2025-09-01,00:39:58,BPAY,225.9,Amazon Australia,Australia,Branch,
TX0045,2025-09-01,00:45:30,Direct Credit,235976.2,Coles_Express_LLC,Australia,Wire,
TX0100,2025-09-01,10:51:11,Direct Credit,133.93,NAB,Australia,Mobile App,
TX0051,2025-09-01,22:41:31,POS Purchase,1163.65,eBay,Australia,ATM,
TX0062,2025-09-02,00:30:24,BPAY,329.26,ANZ Bank,Australia,Online,
TX0073,2025-09-03,22:37:07,Direct Credit,11.6,Domino's Pizza,Australia,ATM,
TX0039,2025-09-04,02:00:54,Direct Credit,822.66,IKEA Australia,Australia,Mobile App,
TX0092,2025-09-04,07:10:48,Transfer,857.33,Bunnings,Australia,Branch,
TX0053,2025-09-04,19:45:31,POS Purchase,1127.7,Domino's Pizza,Australia,Branch,
TX0070,2025-09-05,03:00:00,Direct Credit,9511.42,RemitHub Overseas,Singapore,Mobile App,
TX0005,2025-09-05,13:09:46,Online Payment,191.44,Bunnings,Australia,Mobile App,
TX0078,2025-09-05,18:04:18,POS Purchase,93.48,Officeworks,Australia,Mobile App,
TX0012,2025-09-05,23:05:00,POS Purchase,1164.04,IKEA Australia,Australia,POS,
TX0093,2025-09-06,19:40:40,BPAY,914.14,Bunnings,Australia,Mobile App,
TX0011,2025-09-08,13:08:48,Online Payment,29.6,McDonald's,Australia,ATM,
TX0090,2025-09-08,15:25:20,POS Purchase,569.3,Commonwealth Bank,Australia,POS,
TX0080,2025-09-09,01:45:59,Direct Credit,143.46,Aldi Australia,Australia,Branch,
TX0086,2025-09-10,05:14:49,ATM Withdrawal,393.59,Caltex,Australia,POS,
TX0075,2025-09-10,05:36:33,BPAY,849.69,Myer,Australia,Online,
TX0081,2025-09-11,09:02:01,Direct Credit,1036.41,Coles,Australia,Online,
TX0067,2025-09-11,09:36:14,BPAY,173.4,Telstra,Australia,Mobile App,
TX0027,2025-09-11,15:52:12,Transfer,243.61,Amazon Australia,Australia,POS,
TX0028,2025-09-12,03:00:00,Direct Credit,9261.95,W00lw0rths Services,Singapore,Online,W00lw0rths Services
TX0052,2025-09-12,14:58:55,POS Purchase,931.28,Bunnings,Australia,Mobile App,
TX0002,2025-09-12,21:19:10,Online Payment,1141.1,Telstra,Australia,POS,
TX0061,2025-09-13,00:49:51,Online Payment,469.47,Qantas Airways,Australia,ATM,
TX0077,2025-09-13,03:02:44,POS Purchase,926.67,Myer,Australia,Mobile App,
