TransactionID,Date,Time,CustomerID,AccountType,TransactionType,Amount,Merchant,Country,Counterparty,Channel
T00180,2025-04-11,13:21:27,C9045,Savings,Online Payment,20262.33,ALDI,United States,Person_4472,Online
T00430,2025-04-07,20:13:59,C2036,Checking,ATM Withdrawal,9218.72,W00lw0rths Services,Singapore,Company_3606,Mobile App
T00324,2025-02-27,22:13:07,C2610,Business,Crypto Purchase,11418.64,Kmart,Singapore,Person_4653,Third Party
T00810,2025-09-24,08:31:29,C3366,Savings,Wire Transfer,10522.2,JB Hi-Fi,United Kingdom,Company_7140,Third Party
T00274,2025-05-21,05:45:04,C2019,Investment,ATM Withdrawal,2127.95,Apple Store,China,Entity_1242,Online
T00621,2025-01-06,06:13:51,C6477,Savings,Crypto Purchase,1726.03,Caltex,UAE,Company_5544,Third Party
T00554,2025-03-16,21:29:02,C3606,Checking,ATM Withdrawal,14535.68,Aldi Australia,Singapore,Person_9904,ATM
T00532,2025-05-31,11:43:11,C6979,Business,Cash Deposit,1979.16,Amazon,United States,Entity_6733,Mobile App
T00009,2025-09-06,18:02:47,C7640,Savings,Wire Transfer,20819.44,JB Hi-Fi,China,Person_7208,Third Party
T00260,2025-03-03,01:58:54,C5510,Checking,Cash Deposit,19421.5,Telstra,Australia,Company_2042,Online
T00263,2025-03-06,05:17:04,C7366,Savings,ATM Withdrawal,17012.13,Aldi Australia,United Kingdom,Company_7003,Online
T00757,2025-06-27,00:54:10,C2951,Business,Online Payment,18361.05,BP Australia,Hong Kong,Person_2476,Third Party
T00849,2025-04-23,21:09:28,C5918,Business,Crypto Purchase,23533.88,eBay,United States,Person_6715,ATM
T00101,2025-03-09,14:37:39,C2979,Savings,Wire Transfer,15877.07,eBay,United States,Company_8175,ATM
T00771,2025-06-11,08:51:52,C7857,Savings,ATM Withdrawal,13926.73,Coles Express,Australia,Person_4003,Branch
T00546,2025-10-11,07:49:16,C2457,Investment,Cash Deposit,23077.86,NAB,Singapore,Company_7782,Branch
T00142,2025-09-21,09:58:32,C9053,Investment,Wire Transfer,5645.52,ZipPay,UAE,Entity_4092,Branch
T00746,2025-08-26,10:39:25,C7941,Checking,Cash Deposit,9552.48,InvoicePay Solutions,Singapore,Company_9589,ATM
T00358,2025-07-02,06:57:30,C8923,Business,Cash Deposit,5220.33,Afterpay,UAE,Entity_1288,Mobile App
T00770,2025-07-10,18:54:08,C2380,Business,Wire Transfer,4060.96,Amazon,United States,Company_3778,Third Party
T00790,2025-03-04,03:52:41,C3575,Investment,Crypto Purchase,1191.26,Optus,UAE,Company_1235,Third Party
T00067,2025-07-01,07:15:46,C4193,Savings,Crypto Purchase,5082.89,Microsoft Store,United States,Person_7063,Branch
T00506,2025-10-11,21:13:19,C2082,Business,Cash Deposit,17865.9,Westpac,Hong Kong,Entity_3698,Online
T00533,2025-01-13,19:05:26,C8421,Business,ATM Withdrawal,23362.46,Apple Store,UAE,Company_3188,Branch
T00817,2025-05-16,12:37:59,C6036,Savings,Online Payment,17887.35,Myer,United Kingdom,Entity_2018,Mobile App
T00685,2025-08-14,11:49:04,C6578,Investment,Wire Transfer,11053.75,Target,United Kingdom,Entity_2286,Online
T00469,2025-01-12,23:18:56,C6343,Checking,Cash Deposit,117.64,Coles,Singapore,Entity_5604,Mobile App
T00964,2025-05-24,23:58:39,C2935,Business,Wire Transfer,16929.01,IAG Insurance,Australia,Person_2905,ATM
T00484,2025-03-13,13:47:08,C4516,Investment,Cash Deposit,16646.67,Myer,Australia,Company_9096,Online
T00923,2025-04-26,19:40:04,C3099,Business,Crypto Purchase,3686.63,Coles,United States,Person_3794,Branch
