from_address,to_address,value,timestamp
0xabcd1234abcd1234abcd1234abcd1234abcd1234,0xef567890ef567890ef567890ef567890ef567890,45000,2024-01-15 09:00:00
0xef567890ef567890ef567890ef567890ef567890,0x1122334455667788990011223344556677889900,43500,2024-01-15 09:30:00
0x1122334455667788990011223344556677889900,0xaabbccddeeff00112233445566778899aabbcc,42000,2024-01-15 10:00:00
0xaabbccddeeff00112233445566778899aabbcc,0xabcd1234abcd1234abcd1234abcd1234abcd1234,40500,2024-01-15 10:30:00
0xabcd1234abcd1234abcd1234abcd1234abcd1234,0xef567890ef567890ef567890ef567890ef567890,52000,2024-01-15 15:00:00
0xef567890ef567890ef567890ef567890ef567890,0x1122334455667788990011223344556677889900,50500,2024-01-15 15:30:00
0x1122334455667788990011223344556677889900,0xaabbccddeeff00112233445566778899aabbcc,49000,2024-01-15 16:00:00
0xaabbccddeeff00112233445566778899aabbcc,0xabcd1234abcd1234abcd1234abcd1234abcd1234,47500,2024-01-15 16:30:00
0xabcd1234abcd1234abcd1234abcd1234abcd1234,0xef567890ef567890ef567890ef567890ef567890,38000,2024-01-16 11:00:00
0xef567890ef567890ef567890ef567890ef567890,0xabcd1234abcd1234abcd1234abcd1234abcd1234,36500,2024-01-16 11:15:00
