TransactionID,date,time,CustomerID,AccountType,TransactionType,amount,merchant,country,Counterparty,Channel,timestamp,transaction_id,risk_score,risk_level,risk_flags,risk_details,flagged_for_review,austrac_reporting_required
T00180,2025-04-11,13:21:27,C9045,Savings,Online Payment,20262.33,ALDI,United States,Person_4472,Online,2025-04-11 13:21:27,TX_000001,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00430,2025-04-07,20:13:59,C2036,Checking,ATM Withdrawal,9218.72,W00lw0rths Services,Singapore,Company_3606,Mobile App,2025-04-07 20:13:59,TX_000002,40.0,HIGH,"['INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['International transaction: Singapore', 'Amount $9,218.72 is 7.8% below AUSTRAC threshold ($10,000)']",True,False
T00324,2025-02-27,22:13:07,C2610,Business,Crypto Purchase,11418.64,Kmart,Singapore,Person_4653,Third Party,2025-02-27 22:13:07,TX_000003,25.0,MEDIUM,"['UNUSUAL_HOURS', 'INTERNATIONAL_TRANSACTION']","['Transaction at 22:00 (Late evening hours)', 'International transaction: Singapore']",False,False
T00810,2025-09-24,08:31:29,C3366,Savings,Wire Transfer,10522.2,JB Hi-Fi,United Kingdom,Company_7140,Third Party,2025-09-24 08:31:29,TX_000004,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United Kingdom'],False,False
T00274,2025-05-21,05:45:04,C2019,Investment,ATM Withdrawal,2127.95,Apple Store,China,Entity_1242,Online,2025-05-21 05:45:04,TX_000005,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00621,2025-01-06,06:13:51,C6477,Savings,Crypto Purchase,1726.03,Caltex,UAE,Company_5544,Third Party,2025-01-06 06:13:51,TX_000006,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: UAE'],False,False
T00554,2025-03-16,21:29:02,C3606,Checking,ATM Withdrawal,14535.68,Aldi Australia,Singapore,Person_9904,ATM,2025-03-16 21:29:02,TX_000007,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: Singapore'],False,False
T00532,2025-05-31,11:43:11,C6979,Business,Cash Deposit,1979.16,Amazon,United States,Entity_6733,Mobile App,2025-05-31 11:43:11,TX_000008,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: United States'],False,False
T00009,2025-09-06,18:02:47,C7640,Savings,Wire Transfer,20819.44,JB Hi-Fi,China,Person_7208,Third Party,2025-09-06 18:02:47,TX_000009,10.0,LOW,['INTERNATIONAL_TRANSACTION'],['International transaction: China'],False,False
T00260,2025-03-03,01:58:54,C5510,Checking,Cash Deposit,19421.5,Telstra,Australia,Company_2042,Online,2025-03-03 01:58:54,TX_000010,25.0,MEDIUM,['LATE_NIGHT_TRANSACTION'],['Transaction at 01:00 (High-risk hours: 12am-5am)'],False,False
